frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z,is looking at object ,object identification ,object location, scene number 
"1.164805","-0.117","1.711","-3.485","-0.18","-0.02","0.983","-0.053","1.709","-3.49","-0.173","-0.029","0.985","False","no object","(0, 0, 0)","0"
"1.176154","-0.117","1.711","-3.485","-0.181","-0.019","0.983","-0.053","1.709","-3.49","-0.171","-0.029","0.985","False","no object","(0, 0, 0)","0"
"1.191164","-0.117","1.711","-3.485","-0.181","-0.02","0.983","-0.053","1.709","-3.49","-0.171","-0.028","0.985","False","no object","(0, 0, 0)","0"
"1.203595","-0.117","1.711","-3.485","-0.181","-0.02","0.983","-0.053","1.709","-3.49","-0.171","-0.028","0.985","False","no object","(0, 0, 0)","0"
"1.217498","-0.117","1.711","-3.485","-0.18","-0.02","0.983","-0.053","1.709","-3.49","-0.171","-0.027","0.985","False","no object","(0, 0, 0)","0"
"1.232469","-0.117","1.711","-3.485","-0.18","-0.02","0.984","-0.053","1.709","-3.49","-0.172","-0.027","0.985","False","no object","(0, 0, 0)","0"
"1.246291","-0.118","1.711","-3.486","-0.18","-0.02","0.984","-0.053","1.709","-3.49","-0.172","-0.026","0.985","False","no object","(0, 0, 0)","0"
"1.26071","-0.118","1.711","-3.486","-0.179","-0.021","0.984","-0.053","1.709","-3.49","-0.173","-0.025","0.985","False","no object","(0, 0, 0)","0"
"1.276385","-0.118","1.711","-3.486","-0.179","-0.02","0.984","-0.053","1.709","-3.49","-0.174","-0.025","0.984","False","no object","(0, 0, 0)","0"
"1.289262","-0.118","1.711","-3.486","-0.178","-0.02","0.984","-0.053","1.709","-3.49","-0.174","-0.025","0.984","False","no object","(0, 0, 0)","0"
"1.30387","-0.118","1.711","-3.486","-0.178","-0.019","0.984","-0.053","1.709","-3.49","-0.174","-0.025","0.984","False","no object","(0, 0, 0)","0"
"1.318146","-0.118","1.711","-3.486","-0.177","-0.019","0.984","-0.053","1.709","-3.49","-0.174","-0.026","0.984","False","no object","(0, 0, 0)","0"
"1.333315","-0.118","1.711","-3.486","-0.177","-0.019","0.984","-0.053","1.709","-3.49","-0.174","-0.026","0.984","False","no object","(0, 0, 0)","0"
"1.3465","-0.118","1.711","-3.486","-0.176","-0.018","0.984","-0.053","1.709","-3.49","-0.174","-0.026","0.984","False","no object","(0, 0, 0)","0"
"1.360717","-0.118","1.711","-3.486","-0.176","-0.017","0.984","-0.053","1.709","-3.49","-0.174","-0.026","0.984","False","no object","(0, 0, 0)","0"
"1.374699","-0.118","1.711","-3.486","-0.175","-0.017","0.984","-0.053","1.709","-3.49","-0.174","-0.027","0.984","False","no object","(0, 0, 0)","0"
"1.389486","-0.118","1.711","-3.486","-0.175","-0.017","0.984","-0.053","1.709","-3.49","-0.174","-0.027","0.984","False","no object","(0, 0, 0)","0"
"1.4056","-0.118","1.711","-3.486","-0.175","-0.018","0.984","-0.053","1.709","-3.49","-0.173","-0.027","0.984","False","no object","(0, 0, 0)","0"
"1.418317","-0.118","1.711","-3.486","-0.175","-0.018","0.984","-0.053","1.71","-3.491","-0.173","-0.027","0.985","False","no object","(0, 0, 0)","0"
"1.433193","-0.119","1.712","-3.488","-0.176","-0.018","0.984","-0.054","1.71","-3.492","-0.174","-0.027","0.984","False","no object","(0, 0, 0)","0"
"1.447006","-0.12","1.712","-3.489","-0.176","-0.018","0.984","-0.055","1.71","-3.493","-0.174","-0.027","0.984","False","no object","(0, 0, 0)","0"
"1.460483","-0.12","1.712","-3.489","-0.176","-0.018","0.984","-0.055","1.711","-3.494","-0.174","-0.026","0.984","False","no object","(0, 0, 0)","0"
"1.475646","-0.12","1.712","-3.49","-0.176","-0.017","0.984","-0.055","1.711","-3.495","-0.175","-0.026","0.984","False","no object","(0, 0, 0)","0"
"1.489201","-0.121","1.712","-3.491","-0.176","-0.018","0.984","-0.056","1.711","-3.495","-0.175","-0.026","0.984","False","no object","(0, 0, 0)","0"
"1.503487","-0.121","1.712","-3.491","-0.177","-0.018","0.984","-0.056","1.711","-3.496","-0.175","-0.026","0.984","False","no object","(0, 0, 0)","0"
"1.517604","-0.121","1.712","-3.492","-0.177","-0.018","0.984","-0.057","1.711","-3.496","-0.175","-0.025","0.984","False","no object","(0, 0, 0)","0"
"1.532777","-0.122","1.712","-3.492","-0.176","-0.017","0.984","-0.057","1.711","-3.497","-0.175","-0.025","0.984","False","no object","(0, 0, 0)","0"
"1.546445","-0.122","1.712","-3.492","-0.176","-0.017","0.984","-0.057","1.711","-3.497","-0.174","-0.024","0.984","False","no object","(0, 0, 0)","0"
"1.561057","-0.122","1.713","-3.493","-0.175","-0.017","0.984","-0.057","1.711","-3.497","-0.174","-0.024","0.985","False","no object","(0, 0, 0)","0"
"1.575509","-0.122","1.713","-3.493","-0.175","-0.017","0.984","-0.057","1.711","-3.498","-0.174","-0.023","0.985","False","no object","(0, 0, 0)","0"
"1.589375","-0.122","1.713","-3.493","-0.175","-0.017","0.984","-0.058","1.711","-3.498","-0.173","-0.023","0.985","False","no object","(0, 0, 0)","0"
"1.603827","-0.123","1.713","-3.493","-0.175","-0.017","0.984","-0.058","1.711","-3.498","-0.173","-0.023","0.985","False","no object","(0, 0, 0)","0"
"1.619456","-0.123","1.713","-3.494","-0.175","-0.016","0.984","-0.058","1.711","-3.498","-0.174","-0.023","0.985","False","no object","(0, 0, 0)","0"
"1.632241","-0.123","1.713","-3.494","-0.175","-0.015","0.984","-0.058","1.711","-3.499","-0.174","-0.024","0.984","False","no object","(0, 0, 0)","0"
"1.646539","-0.123","1.713","-3.494","-0.175","-0.015","0.984","-0.058","1.711","-3.499","-0.174","-0.024","0.984","False","no object","(0, 0, 0)","0"
"1.6605","-0.123","1.713","-3.494","-0.175","-0.015","0.984","-0.058","1.711","-3.499","-0.175","-0.023","0.984","False","no object","(0, 0, 0)","0"
"1.675006","-0.123","1.712","-3.493","-0.175","-0.015","0.984","-0.058","1.711","-3.498","-0.175","-0.023","0.984","False","no object","(0, 0, 0)","0"
"1.690159","-0.122","1.712","-3.493","-0.175","-0.016","0.984","-0.057","1.711","-3.497","-0.175","-0.024","0.984","False","no object","(0, 0, 0)","0"
"1.704157","-0.122","1.712","-3.493","-0.162","-0.045","0.986","-0.057","1.711","-3.497","-0.169","-0.052","0.984","False","no object","(0, 0, 0)","0"
"1.718482","-0.122","1.712","-3.492","-0.11","-0.169","0.979","-0.057","1.711","-3.497","-0.14","-0.182","0.973","False","no object","(0, 0, 0)","0"
"1.733014","-0.121","1.712","-3.492","-0.114","-0.173","0.978","-0.057","1.711","-3.497","-0.14","-0.184","0.973","False","no object","(0, 0, 0)","0"
"1.746811","-0.121","1.712","-3.492","-0.118","-0.176","0.977","-0.057","1.711","-3.497","-0.141","-0.187","0.972","False","no object","(0, 0, 0)","0"
"1.761246","-0.121","1.712","-3.492","-0.12","-0.178","0.977","-0.056","1.711","-3.496","-0.141","-0.189","0.972","False","no object","(0, 0, 0)","0"
"1.775564","-0.121","1.712","-3.492","-0.121","-0.178","0.977","-0.056","1.711","-3.496","-0.14","-0.19","0.972","False","no object","(0, 0, 0)","0"
"1.789251","-0.121","1.712","-3.491","-0.124","-0.177","0.976","-0.056","1.711","-3.496","-0.139","-0.189","0.972","False","no object","(0, 0, 0)","0"
"1.804459","-0.12","1.712","-3.491","-0.126","-0.174","0.977","-0.056","1.711","-3.496","-0.136","-0.188","0.973","False","no object","(0, 0, 0)","0"
"1.819842","-0.12","1.712","-3.491","-0.126","-0.173","0.977","-0.056","1.711","-3.496","-0.132","-0.186","0.974","False","no object","(0, 0, 0)","0"
"1.833196","-0.12","1.712","-3.491","-0.127","-0.172","0.977","-0.055","1.711","-3.495","-0.13","-0.185","0.974","False","no object","(0, 0, 0)","0"
"1.846677","-0.12","1.712","-3.491","-0.127","-0.171","0.977","-0.055","1.711","-3.495","-0.128","-0.182","0.975","False","no object","(0, 0, 0)","0"
"1.860935","-0.12","1.712","-3.49","-0.127","-0.17","0.977","-0.055","1.711","-3.495","-0.126","-0.181","0.975","False","no object","(0, 0, 0)","0"
"1.87476","-0.12","1.712","-3.49","-0.127","-0.17","0.977","-0.055","1.711","-3.495","-0.126","-0.18","0.976","False","no object","(0, 0, 0)","0"
"1.889315","-0.12","1.712","-3.49","-0.127","-0.17","0.977","-0.055","1.711","-3.495","-0.125","-0.178","0.976","False","no object","(0, 0, 0)","0"
"1.90325","-0.12","1.712","-3.49","-0.128","-0.169","0.977","-0.055","1.711","-3.495","-0.125","-0.176","0.976","False","no object","(0, 0, 0)","0"
"1.918208","-0.12","1.712","-3.49","-0.128","-0.169","0.977","-0.055","1.711","-3.495","-0.124","-0.175","0.977","False","no object","(0, 0, 0)","0"
