frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z,is looking at object ,object identification ,object location, scene number 
"9.806299","-0.064","1.508","-3.803","-0.147","-0.012","0.989","0","1.515","-3.793","-0.147","-0.012","0.989","False","no object","(0, 0, 0)","1"
"9.821228","-0.063","1.508","-3.803","-0.147","-0.012","0.989","0","1.516","-3.793","-0.147","-0.012","0.989","False","no object","(0, 0, 0)","1"
"9.832037","-0.063","1.508","-3.803","-0.147","-0.012","0.989","0","1.515","-3.793","-0.147","-0.012","0.989","False","no object","(0, 0, 0)","1"
"9.847388","-0.063","1.508","-3.802","-0.147","-0.013","0.989","0","1.515","-3.793","-0.147","-0.013","0.989","False","no object","(0, 0, 0)","1"
"9.862868","-0.063","1.508","-3.802","-0.147","-0.013","0.989","0","1.515","-3.793","-0.147","-0.013","0.989","False","no object","(0, 0, 0)","1"
"9.875148","-0.063","1.508","-3.802","-0.148","-0.014","0.989","0","1.515","-3.793","-0.148","-0.014","0.989","False","no object","(0, 0, 0)","1"
"9.889591","-0.063","1.508","-3.802","-0.148","-0.014","0.989","0","1.515","-3.793","-0.148","-0.014","0.989","False","no object","(0, 0, 0)","1"
"9.904639","-0.063","1.508","-3.802","-0.149","-0.014","0.989","0.001","1.515","-3.793","-0.149","-0.014","0.989","False","no object","(0, 0, 0)","1"
"9.91792","-0.063","1.508","-3.803","-0.149","-0.013","0.989","0.001","1.515","-3.793","-0.149","-0.013","0.989","False","no object","(0, 0, 0)","1"
"9.932476","-0.063","1.508","-3.803","-0.15","-0.013","0.989","0.001","1.515","-3.793","-0.15","-0.013","0.989","False","no object","(0, 0, 0)","1"
"9.946861","-0.063","1.508","-3.803","-0.151","-0.013","0.989","0.001","1.515","-3.793","-0.151","-0.013","0.989","False","no object","(0, 0, 0)","1"
"9.961091","-0.064","1.508","-3.803","-0.152","-0.013","0.988","0","1.515","-3.793","-0.152","-0.013","0.988","False","no object","(0, 0, 0)","1"
"9.974599","-0.064","1.508","-3.803","-0.153","-0.012","0.988","0","1.515","-3.793","-0.153","-0.012","0.988","False","no object","(0, 0, 0)","1"
"9.992318","-0.064","1.508","-3.803","-0.153","-0.012","0.988","0","1.515","-3.793","-0.153","-0.012","0.988","False","no object","(0, 0, 0)","1"
"10.0036","-0.064","1.508","-3.803","-0.153","-0.012","0.988","0","1.515","-3.793","-0.153","-0.012","0.988","False","no object","(0, 0, 0)","1"
"10.01769","-0.064","1.508","-3.803","-0.152","-0.012","0.988","0","1.516","-3.793","-0.152","-0.012","0.988","False","no object","(0, 0, 0)","1"
"10.0317","-0.064","1.508","-3.803","-0.151","-0.012","0.988","0","1.515","-3.793","-0.151","-0.012","0.988","False","no object","(0, 0, 0)","1"
"10.047","-0.064","1.508","-3.803","-0.149","-0.013","0.989","0","1.515","-3.793","-0.149","-0.013","0.989","False","no object","(0, 0, 0)","1"
"10.06152","-0.064","1.508","-3.802","-0.148","-0.014","0.989","0","1.515","-3.793","-0.148","-0.014","0.989","False","no object","(0, 0, 0)","1"
"10.07689","-0.064","1.508","-3.802","-0.146","-0.015","0.989","0","1.515","-3.793","-0.146","-0.015","0.989","False","no object","(0, 0, 0)","1"
"10.08947","-0.064","1.508","-3.802","-0.145","-0.016","0.989","0","1.515","-3.792","-0.145","-0.016","0.989","False","no object","(0, 0, 0)","1"
"10.1043","-0.064","1.508","-3.802","-0.144","-0.017","0.989","0","1.515","-3.792","-0.144","-0.017","0.989","False","no object","(0, 0, 0)","1"
"10.11841","-0.064","1.508","-3.802","-0.144","-0.017","0.989","0","1.515","-3.792","-0.144","-0.017","0.989","False","no object","(0, 0, 0)","1"
"10.13213","-0.064","1.508","-3.802","-0.145","-0.016","0.989","0","1.515","-3.792","-0.145","-0.016","0.989","False","no object","(0, 0, 0)","1"
"10.14737","-0.064","1.508","-3.802","-0.145","-0.016","0.989","0","1.515","-3.793","-0.145","-0.016","0.989","False","no object","(0, 0, 0)","1"
"10.16076","-0.064","1.508","-3.802","-0.146","-0.015","0.989","0","1.515","-3.793","-0.146","-0.015","0.989","False","no object","(0, 0, 0)","1"
"10.17548","-0.064","1.508","-3.802","-0.146","-0.015","0.989","0","1.515","-3.793","-0.146","-0.015","0.989","False","no object","(0, 0, 0)","1"
"10.18936","-0.064","1.508","-3.802","-0.147","-0.015","0.989","0","1.515","-3.793","-0.147","-0.015","0.989","False","no object","(0, 0, 0)","1"
"10.20433","-0.064","1.508","-3.802","-0.148","-0.014","0.989","0","1.515","-3.793","-0.148","-0.014","0.989","False","no object","(0, 0, 0)","1"
