frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z,is looking at object ,object identification ,object location 
"1.498936","-0.339","1.709","-3.684","-0.447","-0.062","0.893","-0.274","1.709","-3.678","-0.442","-0.036","0.896","False","no object","(0, 0, 0)"
"1.513094","-0.339","1.709","-3.684","-0.447","-0.061","0.893","-0.274","1.709","-3.678","-0.442","-0.036","0.896","False","no object","(0, 0, 0)"
"1.525882","-0.339","1.709","-3.683","-0.447","-0.061","0.892","-0.274","1.709","-3.678","-0.442","-0.036","0.896","False","no object","(0, 0, 0)"
"1.540027","-0.339","1.709","-3.683","-0.447","-0.06","0.893","-0.274","1.709","-3.678","-0.443","-0.036","0.896","False","no object","(0, 0, 0)"
"1.554038","-0.339","1.709","-3.683","-0.447","-0.06","0.892","-0.274","1.709","-3.678","-0.443","-0.036","0.896","False","no object","(0, 0, 0)"
"1.568821","-0.339","1.709","-3.683","-0.448","-0.06","0.892","-0.274","1.709","-3.678","-0.444","-0.035","0.895","False","no object","(0, 0, 0)"
"1.583953","-0.339","1.709","-3.683","-0.448","-0.06","0.892","-0.274","1.709","-3.678","-0.445","-0.034","0.895","False","no object","(0, 0, 0)"
"1.598211","-0.339","1.709","-3.683","-0.448","-0.06","0.892","-0.274","1.709","-3.678","-0.445","-0.034","0.895","False","no object","(0, 0, 0)"
"1.612126","-0.339","1.709","-3.683","-0.448","-0.06","0.892","-0.274","1.709","-3.678","-0.446","-0.034","0.894","False","no object","(0, 0, 0)"
"1.625653","-0.339","1.708","-3.683","-0.449","-0.059","0.892","-0.274","1.709","-3.678","-0.447","-0.035","0.894","False","no object","(0, 0, 0)"
"1.639906","-0.339","1.708","-3.683","-0.449","-0.064","0.891","-0.274","1.709","-3.678","-0.448","-0.042","0.893","False","no object","(0, 0, 0)"
"1.653869","-0.339","1.708","-3.683","-0.448","-0.075","0.891","-0.274","1.709","-3.678","-0.453","-0.065","0.889","False","no object","(0, 0, 0)"
"1.668089","-0.339","1.709","-3.683","-0.442","-0.142","0.886","-0.274","1.709","-3.678","-0.453","-0.13","0.882","False","no object","(0, 0, 0)"
"1.683128","-0.339","1.709","-3.683","-0.445","-0.147","0.883","-0.274","1.709","-3.678","-0.448","-0.133","0.884","False","no object","(0, 0, 0)"
